,name,player_id
138,Jaxson Stauber,8483530.0
139,Jean-Sebastien Giguere,8462044.0
140,Jeff Deslauriers,8470074.0
141,Jeff Frazee,8471712.0
142,Jeff Glass,8471301.0
143,Jeff Zatkoff,8473553.0
144,Jeremy Duchesne,8471781.0
145,Jeremy Smith,8474092.0
146,Jeremy Swayman,8480280.0
147,Jesper Wallstedt,8482661.0
148,Jet Greaves,8482982.0
149,Jett Alexander,8483183.0
150,Jhonas Enroth,8473523.0
151,Jimmy Howard,8470657.0
152,Jiri Patera,8480238.0
153,Joacim Eriksson,8474754.0
154,Joel Blomqvist,8482446.0
155,Joel Hofer,8480981.0
156,Joey Daccord,8478916.0
157,Joey MacDonald,8469732.0
158,Johan Backlund,8475080.0
159,Johan Hedberg,8460704.0
160,John Curry,8474202.0
161,John Gibson,8476434.0
162,Jon Gillies,8476903.0
163,Jonas Gustavsson,8475361.0
164,Jonas Hiller,8473972.0
165,Jonas Johansson,8477992.0
166,Jonathan Bernier,8473541.0
167,Jonathan Quick,8471734.0
168,Joni Ortio,8475299.0
169,Joonas Korpisalo,8476914.0
170,Jordan Binnington,8476412.0
171,Jorge Alves,8479115.0
172,Jose Theodore,8460535.0
173,Josef Korenar,8480373.0
174,Joseph Woll,8479361.0
175,Josh Harding,8470216.0
176,Josh Tordjman,8473632.0
177,Jussi Rynnas,8475680.0
178,Justin Peters,8471251.0
179,Justin Pogge,8471302.0
180,Justus Annunen,8481020.0
181,Juuse Saros,8477424.0
182,Kaapo Kahkonen,8478039.0
183,Kaden Fulcher,8480363.0
184,Karel Vejmelka,8478872.0
185,Kari Lehtonen,8470140.0
186,Karri Ramo,8471403.0
187,Kasimir Kaskisuo,8479288.0
188,Keith Kinkaid,8476234.0
189,Ken Appleby,8478965.0
190,Kenneth Appleby,8478965.0
191,Kent Simpson,8475720.0
192,Kevin Boyle,8479294.0
193,Kevin Lankinen,8480947.0
194,Kevin Mandolese,8480867.0
195,Kevin Poulin,8474690.0
196,Kevin Weekes,8459463.0
197,Kristers Gudlevskis,8477356.0
198,Landon Bow,8479016.0
199,Laurent Brossoit,8476316.0
200,Leevi Merilainen,8482447.0
201,Leevi Merilinen,8482447.0
202,Leland Irving,8473414.0
203,Linus Ullmark,8476999.0
204,Logan Thompson,8480313.0
205,Louis Domingue,8475839.0
206,Lukas Dostal,8480843.0
207,Mackenzie Blackwood,8478406.0
208,Mackenzie Skapski,8477084.0
209,Mads Sogaard,8481544.0
210,Magnus Chrona,8480992.0
211,Magnus Hellberg,8476433.0
212,Malcolm Subban,8476876.0
213,Manny Fernandez,8458988.0
214,Manny Legace,8459308.0
215,Marc Denis,8462055.0
216,Marc-Andre Fleury,8470594.0
217,Marcus Hogberg,8477405.0
218,Marek Langhamer,8476986.0
219,Marek Mazanec,8476992.0
220,Marek Schwarz,8471230.0
221,Mark Dekanich,8473532.0
222,Mark Visentin,8475771.0
223,Martin Biron,8462047.0
224,Martin Brodeur,8455710.0
225,Martin Gerber,8469675.0
226,Martin Jones,8474889.0
227,Marty Turco,8460612.0
228,Mathieu Garon,8464999.0
229,Matiss Kivlenieks,8480162.0
230,Matt Climie,8474488.0
231,Matt Hackett,8475252.0
232,Matt Murray,8476899.0
233,Matt Tomkins,8477035.0
234,Matt Villalta,8480191.0
235,Matt Zaba,8470820.0
236,Matthew Berlin,8483158.0
237,Matthew O'Connor,8478559.0
238,Maxime Lagace,8476509.0
239,Michael DiPietro,8480022.0
240,Michael Dipietro,8480022.0
241,Michael Houser,8475920.0
242,Michael Hutchinson,8474636.0
243,Michael Leighton,8468038.0
244,Michael McNiven,8478933.0
245,Michal Neuvirth,8473607.0
246,Miikka Kiprusoff,8462147.0
247,Mikael Tellqvist,8468550.0
248,Mike Brodeur,8470800.0
249,Mike Condon,8477237.0
250,Mike McKenna,8470093.0
251,Mike Murphy,8474729.0
252,Mike Smith,8469608.0
253,Mikko Koskinen,8475156.0
254,Nathan Lawson,8474855.0
255,Nathan Lieuwen,8476319.0
256,Nico Daws,8482076.0
257,Nikke Kokko,8483668.0
258,Niklas Backstrom,8473404.0
259,Niklas Svedberg,8476844.0
260,Niklas Treutle,8478999.0
261,Nikolai Khabibulin,8459140.0
262,Olie Kolzig,8448535.0
263,Olle Eriksson Ek,8480042.0
264,Ondrej Pavelec,8471715.0
265,Oscar Dansk,8476861.0
266,Pascal Leclaire,8469461.0
267,Patrick Lalime,8459579.0
268,Pavel Francouz,8480925.0
269,Pekka Rinne,8471469.0
270,Peter Budaj,8469514.0
271,Peter Mannino,8474771.0
272,Petr Mrazek,8475852.0
273,Pheonix Copley,8477831.0
274,Philipp Grubauer,8475831.0
275,Pyotr Kochetkov,8481611.0
276,Ray Emery,8469548.0
277,Reto Berra,8473499.0
278,Richard Bachman,8473614.0
279,Rick DiPietro,8468481.0
280,Riku Helenius,8473474.0
281,Rob Zepp,8467972.0
282,Roberto Luongo,8466141.0
283,Robin Lehner,8475215.0
284,Roman Will,8477914.0
285,Ryan Miller,8468011.0
286,Sam Montembeault,8478470.0
287,Sami Aittokallio,8475824.0
288,Samuel Ersson,8481035.0
289,Scott Clemmensen,8466339.0
290,Scott Darling,8474152.0
291,Scott Foster,8479138.0
292,Scott Wedgewood,8475809.0
293,Sebastian Cossa,8482657.0
294,Sebastien Caron,8467959.0
295,Semyon Varlamov,8473575.0
296,Sergei Bobrovsky,8475683.0
297,Shawn Hunwick,8476803.0
298,Spencer Knight,8481519.0
299,Spencer Martin,8477484.0
300,Steve Mason,8473461.0
301,Steve Valiquette,8465161.0
302,Stuart Skinner,8479973.0
303,Thatcher Demko,8477967.0
304,Thomas Greiss,8471306.0
305,Thomas Hodges,8480591.0
306,Tim Thomas,8460703.0
307,Timo Pielmeier,8474194.0
308,Tobias Stephan,8470266.0
309,Tom McCollum,8474591.0
310,Tomas Vokoun,8460712.0
311,Trent Miner,8481529.0
312,Tristan Jarry,8477465.0
313,Troy Grosenick,8477234.0
314,Tuukka Rask,8471695.0
315,Ty Conklin,8469152.0
316,Tyler Bunz,8475781.0
317,Ukko-Pekka Luukkonen,8480045.0
318,Veini Vehvilainen,8481001.0
319,Vesa Toskala,8462117.0
320,Viktor Fasth,8476839.0
321,Ville Husso,8478024.0
322,Vitek Vanecek,8477970.0
323,Wade Dubielewicz,8470584.0
324,Yaniv Perets,8484293.0
325,Yann Danis,8471186.0
326,Yaroslav Askarov,8482137.0
327,Zach Fucale,8477457.0
328,Zach Sawchenko,8479313.0
329,Zane McIntyre,8475876.0
