,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,player_id,shifts,shots_blocked_by_player,assists,position_encoded
50,Aleksander Barkov,2692.0,421.0,265.0,92.0,230.0,448.0,55.0,1556.0,118.0,750.0,597.0,3215.0,146.0,711.0,48.0,168.0,17810.0,3076.0,1939.0,609.0,6381.0,7104.0,734,884982.0,6.32,6.2700000000000005,178.0,8477493,17810.0,471.0,446.0,0
51,Aleksi Heponiemi,42.0,7.0,2.0,0.0,2.0,2.0,0.0,16.0,2.0,15.0,5.0,40.0,6.0,6.0,1.0,2.0,380.0,37.0,28.0,10.0,4.0,4.0,25,16811.0,1.4000000000000001,1.4000000000000001,3.0,8480037,380.0,3.0,4.0,0
52,Aleksi Saarela,9.0,3.0,2.0,1.0,2.0,1.0,1.0,16.0,0.0,3.0,6.0,12.0,0.0,4.0,2.0,0.0,134.0,24.0,15.0,6.0,11.0,6.0,9,6612.0,0.47,0.51,0.0,8478839,134.0,3.0,2.0,0
53,Ales Hemsky,1139.0,319.0,104.0,37.0,85.0,168.0,35.0,952.0,32.0,293.0,301.0,1823.0,187.0,307.0,15.0,75.0,10796.0,1816.0,1029.0,222.0,34.0,19.0,496,474534.0,5.57,5.51,123.0,8469466,10796.0,194.0,203.0,3
54,Ales Kotalik,288.0,63.0,35.0,14.0,23.0,276.0,11.0,481.0,10.0,94.0,156.0,591.0,109.0,76.0,6.0,23.0,3254.0,769.0,442.0,54.0,59.0,47.0,172,149198.0,1.7200000000000002,1.7200000000000002,27.0,8467502,3254.0,49.0,41.0,3
55,Alex Barr-Boulet,33.0,9.0,6.0,2.0,5.0,26.0,0.0,42.0,4.0,24.0,24.0,85.0,10.0,9.0,1.0,0.0,572.0,83.0,47.0,15.0,15.0,14.0,37,24769.0,1.0,0.95,6.0,8479718,572.0,8.0,3.0,0
56,Alex Barre-Boulet,42.0,7.0,6.0,2.0,5.0,18.0,2.0,36.0,2.0,17.0,16.0,118.0,4.0,9.0,2.0,4.0,525.0,75.0,42.0,8.0,12.0,7.0,31,24289.0,1.12,1.09,4.0,8479718,525.0,8.0,3.0,0
57,Alex Belzile,78.0,19.0,6.0,1.0,2.0,46.0,4.0,55.0,1.0,15.0,16.0,59.0,17.0,15.0,1.0,3.0,710.0,92.0,56.0,12.0,121.0,108.0,44,30705.0,1.45,1.42,8.0,8475968,710.0,27.0,9.0,3
58,Alex Biega,536.0,100.0,4.0,0.0,1.0,624.0,4.0,455.0,0.0,28.0,148.0,486.0,122.0,41.0,0.0,16.0,5264.0,691.0,336.0,31.0,0.0,0.0,243,227729.0,3.64,3.62,34.0,8473415,5264.0,228.0,37.0,1
59,Alex Broadhurst,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,25.0,3.0,1.0,2.0,0.0,0.0,2,1205.0,0.65,0.7,0.0,8476283,25.0,0.0,0.0,0
