,name,icetime,x_goals,goals,unblocked_shot_attempts,x_rebounds,rebounds,x_freeze,freeze,x_on_goal,on_goal,x_play_stopped,play_stopped,x_play_continued_in_zone,play_continued_in_zone,x_play_continued_outside_zone,play_continued_outside_zone,flurry_adjusted_x_goals,low_danger_shots,medium_danger_shots,high_danger_shots,low_danger_x_goals,medium_danger_x_goals,high_danger_x_goals,low_danger_goals,medium_danger_goals,high_danger_goals,blocked_shot_attempts,penalty_minutes,penalties
45,Calvin Pickard,3183.640287769784,2.4175539568345323,2.6043165467625897,50.29496402877698,1.867841726618705,2.093525179856115,6.161007194244604,6.503597122302159,26.74474820143885,27.165467625899282,0.8328776978417267,0.6187050359712231,15.065611510791365,11.856115107913668,11.123453237410072,13.748201438848922,2.314244604316547,28.14388489208633,7.143884892086331,2.2446043165467624,0.8073381294964028,0.879568345323741,0.730431654676259,0.8848920863309353,1.0575539568345325,0.6618705035971223,12.762589928057555,0.04316546762589928,0.02158273381294964
46,Cam Talbot,3418.725773195876,2.584041237113402,2.515463917525773,54.32164948453608,1.9744742268041238,2.1731958762886596,6.661505154639175,7.004123711340206,28.866845360824744,28.99381443298969,0.954639175257732,0.777319587628866,16.051917525773195,12.874226804123712,11.878350515463918,14.68041237113402,2.4710103092783506,30.255670103092783,7.468041237113402,2.377319587628866,0.877319587628866,0.9030515463917527,0.8036494845360824,0.8804123711340206,0.8886597938144329,0.7463917525773196,14.22061855670103,0.05567010309278351,0.024742268041237112
47,Cam Ward,3459.4696132596687,2.642338858195212,2.585635359116022,54.049723756906076,2.007476979742173,2.3683241252302025,6.712044198895027,6.005524861878453,29.392504604051567,29.09208103130755,0.9593186003683241,0.9723756906077348,16.16966850828729,13.16390423572744,12.218600368324125,15.686924493554327,2.5409208103130756,30.56353591160221,7.895027624309392,2.3517495395948433,0.9047513812154697,0.9581399631675874,0.7794475138121547,0.856353591160221,0.9355432780847146,0.7937384898710865,13.239410681399631,0.05156537753222836,0.02578268876611418
48,Carey Price,3533.24739195231,2.5300894187779432,2.4664679582712368,55.67213114754098,1.9735767511177347,2.020864381520119,6.656900149031296,7.125186289120715,28.80734724292101,29.47988077496274,0.9473770491803278,1.0715350223546944,15.930715350223547,12.788375558867362,12.060357675111774,14.87183308494784,2.4358867362146053,30.48882265275708,7.409836065573771,2.3278688524590163,0.8492995529061103,0.9049627421758569,0.7757675111773472,0.8330849478390462,0.856929955290611,0.7764530551415797,15.445603576751118,0.07302533532041729,0.03427719821162444
49,Carter Hart,3380.70796460177,2.7182300884955755,2.7610619469026547,55.008849557522126,2.0201769911504424,2.47787610619469,6.71212389380531,7.185840707964601,29.178008849557525,29.287610619469028,0.9141592920353983,0.8141592920353983,15.868716814159292,12.31858407079646,11.863849557522125,14.553097345132743,2.617787610619469,29.327433628318584,8.057522123893806,2.752212389380531,0.8430530973451328,0.9856637168141594,0.8895575221238937,0.9469026548672567,1.0,0.8141592920353983,14.871681415929203,0.008849557522123894,0.004424778761061947
50,Carter Hutton,3219.621276595745,2.284127659574468,2.4680851063829787,48.99574468085106,1.8179148936170213,1.7574468085106383,5.978936170212766,6.297872340425532,26.27446808510638,26.714893617021275,0.8300851063829787,0.9191489361702128,14.806595744680852,11.719148936170212,10.969234042553191,13.659574468085106,2.197744680851064,28.029787234042555,6.897872340425532,1.974468085106383,0.8202553191489361,0.8327234042553191,0.6310212765957447,0.9276595744680851,0.9106382978723404,0.6297872340425532,12.093617021276597,0.06808510638297872,0.03404255319148936
51,Casey DeSmith,3282.920245398773,2.636196319018405,2.576687116564417,51.49693251533742,1.9580981595092026,2.766871165644172,6.457239263803681,5.7975460122699385,27.89515337423313,28.392638036809817,0.9538036809815951,0.803680981595092,15.199202453987729,12.159509202453988,11.36128834355828,14.515337423312884,2.5249079754601227,28.03680981595092,7.723926380368098,2.7791411042944785,0.8000613496932515,0.9522085889570553,0.8838036809815951,0.8282208588957055,0.9570552147239264,0.7914110429447853,12.957055214723926,0.03680981595092025,0.018404907975460124
54,Chad Johnson,3212.2708333333335,2.37375,2.4375,49.1875,1.8237500000000002,1.7395833333333333,5.990885416666667,6.557291666666667,26.454635416666665,26.338541666666668,0.8298437500000001,0.9739583333333334,14.970677083333333,11.494791666666666,10.948020833333333,13.885416666666666,2.2816666666666667,27.75,7.1875,2.03125,0.82171875,0.8689583333333334,0.6830729166666667,0.7135416666666666,0.9583333333333334,0.765625,12.21875,0.0,0.0
55,Charlie Lindgren,3398.9363636363637,2.762,2.6454545454545455,56.46363636363636,2.0136363636363637,2.518181818181818,6.968090909090909,6.890909090909091,29.446636363636365,28.854545454545455,0.9359090909090909,0.509090909090909,16.099363636363638,13.318181818181818,11.824818181818182,15.327272727272728,2.6394545454545457,30.418181818181818,8.127272727272727,2.709090909090909,0.890090909090909,1.0036363636363637,0.8682727272727273,1.0363636363636364,0.9727272727272728,0.6363636363636364,15.209090909090909,0.01818181818181818,0.00909090909090909
58,Chris Mason,3240.769230769231,2.3721428571428573,2.4395604395604398,49.510989010989015,1.8283516483516482,1.7472527472527473,5.944945054945055,5.565934065934066,26.376648351648353,26.247252747252748,0.839945054945055,0.7417582417582418,14.79445054945055,12.637362637362637,10.964340659340658,13.901098901098901,2.271923076923077,27.895604395604394,7.032967032967033,2.1538461538461537,0.8293956043956043,0.8392857142857143,0.7034615384615385,0.8296703296703297,0.8791208791208791,0.7307692307692307,12.428571428571429,0.02197802197802198,0.01098901098901099
