name,I_F_goals_all,playerId_all
Buddy Robinson,4.0,8477210
Byron Bitz,10.0,8470700
Byron Froese,7.0,8475278
C.J. Smith,2.0,8480083
CJ Suess,0.0,8478058
Cade Fairchild,0.0,8474029
Cal Clutterbuck,143.0,8473504
Cal Foote,5.0,8479984
Cal O'Reilly,17.0,8471811
Cale Fleury,1.0,8479985
Cale Makar,86.0,8480069
Caleb Jones,14.0,8478452
Calen Addison,6.0,8480884
Callahan Burke,0.0,8482250
Calle Jarnkrok,137.0,8475714
Calle Rosen,11.0,8480157
Calvin Thurkauf,0.0,8479557
Calvin de Haan,24.0,8475177
Cam Atkinson,249.0,8474715
Cam Barker,14.0,8471216
Cam Dineen,0.0,8479341
Cam Fowler,96.0,8475764
Cam Janssen,5.0,8470123
Cam Paddock,2.0,8469733
Cam York,15.0,8481546
Cameron Butler,0.0,8483045
Cameron Crotty,0.0,8480075
Cameron Gaunce,3.0,8474611
Cameron Hillis,0.0,8480858
Cameron Hughes,0.0,8478888
Cameron Schilling,0.0,8476799
Carl Dahlstrom,0.0,8477472
Carl Grundstrom,40.0,8479336
Carl Gunnarsson,30.0,8474125
Carl Hagelin,110.0,8474176
Carl Klingberg,1.0,8475159
Carl Sneep,0.0,8473539
Carl Soderberg,111.0,8471262
Carlo Colaiacovo,22.0,8469470
Carsen Twarynski,1.0,8479358
Carson McMillan,2.0,8474077
Carson Meyer,2.0,8480292
Carson Soucy,23.0,8477369
Carter Ashton,0.0,8475154
Carter Bancks,0.0,8474844
Carter Camper,1.0,8476211
Carter Rowney,24.0,8477240
Carter Verhaeghe,125.0,8477409
Casey Bailey,1.0,8478376
Casey Borer,0.0,8471282
Casey Cizikas,108.0,8475231
Casey Fitzgerald,0.0,8479578
Casey Mittelstadt,66.0,8479999
Casey Nelson,4.0,8479268
Casey Wellman,6.0,8475602
Cedric Paquette,51.0,8476975
Chad Billins,0.0,8476827
Chad Kolarik,0.0,8471411
Chad LaRose,67.0,8469812
Chad Rau,2.0,8471885
Chad Ruhwedel,13.0,8477244
Chandler Stephenson,89.0,8476905
Charles Hudon,14.0,8476948
Charles Linglet,0.0,8470370
Charlie Coyle,172.0,8475745
Charlie McAvoy,53.0,8479325
Chase Balisy,0.0,8476322
Chase De Leo,0.0,8478029
Chase Pearson,0.0,8478486
Chase Priskie,0.0,8479597
Chay Genoway,0.0,8476224
Chris Bigras,1.0,8477453
Chris Bourque,2.0,8471246
Chris Breen,0.0,8475648
Chris Brown,2.0,8475161
Chris Butler,14.0,8471761
Chris Campoli,21.0,8470329
Chris Chelios,0.0,8446053
Chris Clark,13.0,8460567
Chris Conner,18.0,8472368
Chris Drury,37.0,8460562
Chris Durno,4.0,8472263
Chris Gratton,0.0,8459425
Chris Higgins,93.0,8470274
Chris Kelly,87.0,8467967
Chris Kreider,303.0,8475184
Chris Kunitz,203.0,8470543
Chris Minard,1.0,8470383
Chris Mueller,3.0,8474535
Chris Neil,54.0,8467493
Chris Phillips,26.0,8464956
Chris Porter,15.0,8470871
Chris Pronger,26.0,8459424
Chris Stewart,160.0,8473485
Chris Summers,2.0,8473589
Chris Tanev,3.0,8475690
Chris Terry,22.0,8474052
Chris Thorburn,45.0,8469501
Chris Tierney,81.0,8476919
Chris VandeVelde,18.0,8471762
Chris Wagner,38.0,8475780
Chris Wideman,20.0,8475227
Christian Backman,2.0,8467348
Christian Djoos,7.0,8477043
Christian Dvorak,93.0,8477989
Christian Ehrhoff,57.0,8469555
Christian Fischer,61.0,8478432
Christian Folin,8.0,8477850
Christian Hanson,3.0,8475087
Christian Jaros,1.0,8478868
Christian Thomas,1.0,8475749
Christian Wolanin,6.0,8478846
Christoffer Ehn,5.0,8478036
Christoph Bertschy,0.0,8477006
Christoph Schubert,5.0,8469575
Christopher DiDomenico,6.0,8474018
Christopher Tanev,30.0,8475690
Chuck Kobasew,53.0,8469467
Clark Bishop,1.0,8478056
Clarke MacArthur,122.0,8470667
Claude Giroux,350.0,8473512
Claude Lemieux,0.0,8448772
Clay Wilson,3.0,8472262
Clayton Keller,166.0,8479343
Clayton Stoner,7.0,8470886
Cody Almond,2.0,8474042
Cody Bass,0.0,8471760
Cody Ceci,48.0,8476879
Cody Eakin,110.0,8475236
Cody Franson,43.0,8471742
Cody Glass,29.0,8479996
Cody Goloubef,3.0,8474597
Cody Hodgson,64.0,8474570
Cody Kunyk,0.0,8477832
Cody McCormick,13.0,8469591
Cody McLeod,68.0,8471657
Colby Armstrong,48.0,8469474
Colby Cave,4.0,8477529
Colby Cohen,0.0,8474002
Colby Robak,0.0,8474606
Cole Bardreau,1.0,8478367
Cole Caufield,81.0,8481540
Cole Guttman,8.0,8480252
Cole Koepke,1.0,8481043
Cole McWard,1.0,8484287
Cole Perfetti,29.0,8482149
Cole Reinhardt,0.0,8481133
Cole Schneider,0.0,8476766
Cole Schwindt,0.0,8481655
Cole Sillinger,32.0,8482705
Cole Smith,13.0,8482062
Colin Blackwell,35.0,8476278
Colin Fraser,20.0,8470662
Colin Greening,45.0,8471862
Colin McDonald,20.0,8470644
Colin Miller,39.0,8476525
Colin Smith,0.0,8476536
Colin Stuart,5.0,8469582
Colin White,48.0,8465005
Colin Wilson,112.0,8474569
Collin Graf,0.0,8484911
Colten Teubert,0.0,8474575
Colton Gillies,6.0,8474121
Colton Orr,10.0,8468778
Colton Parayko,60.0,8476892
Colton Sceviour,66.0,8474098
Colton Sissons,88.0,8476925
Colton White,0.0,8478841
Connor Bedard,22.0,8484144
Connor Brickley,6.0,8475736
Connor Brown,93.0,8477015
Connor Bunnaman,1.0,8479382
Connor Carrick,13.0,8476941
Connor Clifton,14.0,8477365
Connor Dewar,19.0,8480980
Connor James,0.0,8470295
Connor Jones,0.0,8477881
Connor Mackey,4.0,8482067
Connor McDavid,334.0,8478402
Connor McMichael,27.0,8481580
Connor Murphy,41.0,8476473
Connor Zary,14.0,8482074
Conor Allen,0.0,8477214
Conor Garland,103.0,8478856
Conor Sheary,124.0,8477839
Conor Timmins,3.0,8479982
Cooper Marody,0.0,8478442
Corban Knight,4.0,8475260
Corey Elkins,1.0,8475086
Corey Locke,0.0,8470705
Corey Perry,370.0,8470621
Corey Potter,8.0,8470714
Corey Schueneman,2.0,8481461
Corey Tropp,6.0,8474130
Cory Conacher,28.0,8476195
Cory Emmerton,12.0,8473558
Cory Murphy,7.0,8473924
Cory Sarich,9.0,8464981
Cory Stillman,44.0,8458943
Craig Adams,20.0,8465166
Craig Conroy,16.0,8455919
Craig Cunningham,3.0,8475414
Craig MacDonald,1.0,8465041
Craig Rivet,5.0,8459004
Craig Smith,211.0,8475225
Craig Weller,1.0,8468647
Curtis Glencross,118.0,8471185
Curtis Hamilton,0.0,8475734
Curtis Lazar,45.0,8477508
Curtis McKenzie,10.0,8475310
Curtis Valk,0.0,8477583
Cutter Gauthier,0.0,8483445
DJ King,0.0,8470294
Daemon Hunt,0.0,8482094
Dainius Zubrus,77.0,8464977
Dakota Joshua,33.0,8478057
Dakota Mermis,4.0,8477541
Dale Weise,55.0,8474668
Dalton Prout,7.0,8474774
Dalton Smith,0.0,8475748
Damien Brunner,25.0,8477059
Damien Giroux,0.0,8480994
Damon Severson,66.0,8476923
Dan Boyle,87.0,8467096
Dan Fritsche,5.0,8470639
Dan Girardi,46.0,8471958
