,name,player_id,icetime,goals,unblocked_shot_attempts,rebounds,freeze,on_goal,play_stopped,play_continued_in_zone,play_continued_outside_zone,low_danger_shots,medium_danger_shots,high_danger_shots,low_danger_goals,medium_danger_goals,high_danger_goals,blocked_shot_attempts
12,"Nabokov, Evgeni",8460705,3482.3370786516853,2.45692883895131,52.68913857677903,2.0636704119850187,6.49063670411985,27.98501872659176,0.9775280898876404,11.782771535580524,15.599250936329588,29.756554307116104,7.220973782771535,2.1647940074906367,0.8277153558052435,0.8277153558052435,0.8014981273408239,13.546816479400748
13,"Vokoun, Tomas",8460712,3364.4372469635628,2.3562753036437245,55.57085020242915,2.263157894736842,7.161943319838056,30.40080971659919,0.9230769230769232,13.34008097165992,15.421052631578949,32.07692307692308,7.17004048582996,2.311740890688259,0.7368421052631579,0.757085020242915,0.8623481781376519,14.012145748987852
14,"Roloson, Dwayne",8460806,3409.057971014493,2.78743961352657,55.79710144927536,2.130434782608696,7.396135265700483,30.096618357487923,0.7922705314009661,13.570048309178745,14.898550724637682,31.28985507246377,8.043478260869565,2.3768115942028984,0.932367149758454,0.9903381642512076,0.8647342995169082,14.08695652173913
15,"Giguere, Jean-Sebastien",8462044,3241.209677419354,2.505376344086021,49.763440860215056,1.8440860215053765,5.510752688172043,26.93010752688172,0.7150537634408602,12.564516129032258,14.956989247311828,28.93548387096774,7.247311827956989,1.989247311827957,0.9408602150537636,0.8064516129032258,0.7580645161290323,11.591397849462366
16,"Biron, Martin",8462047,3380.530769230769,2.6153846153846154,54.0,1.946153846153846,7.123076923076923,28.584615384615383,0.8307692307692308,12.492307692307692,14.330769230769231,30.384615384615383,6.7615384615384615,2.376923076923077,0.9769230769230768,0.8153846153846154,0.823076923076923,14.476923076923075
17,"Boucher, Brian",8462052,3264.0873786407765,2.3300970873786406,47.300970873786405,1.825242718446602,6.436893203883495,25.00970873786408,0.7766990291262136,10.8252427184466,12.92233009708738,26.67961165048544,6.223300970873787,2.029126213592233,0.883495145631068,0.7281553398058253,0.7184466019417476,12.368932038834952
18,"Toskala, Vesa",8462117,3258.8214285714284,3.0476190476190474,52.773809523809526,1.4404761904761905,5.630952380952381,27.011904761904763,1.0,13.19047619047619,14.404761904761903,28.702380952380956,7.535714285714286,2.5476190476190474,1.1071428571428572,0.8928571428571429,1.0476190476190477,13.988095238095235
19,"Kiprusoff, Miikka",8462147,3493.1942675159235,2.5254777070063694,52.00636942675159,1.8694267515923568,6.442675159235669,28.076433121019107,0.7515923566878981,12.757961783439493,15.09872611464968,30.67515923566879,6.691082802547771,2.0859872611464967,0.8662420382165605,0.8885350318471338,0.7707006369426752,12.554140127388536
20,"Mason, Chris",8462152,3240.769230769231,2.43956043956044,49.510989010989015,1.7472527472527473,5.565934065934066,26.247252747252748,0.7417582417582418,12.637362637362637,13.9010989010989,27.895604395604398,7.032967032967033,2.1538461538461537,0.8296703296703297,0.8791208791208791,0.7307692307692307,12.428571428571429
21,"Johnson, Brent",8462161,3142.4578313253014,2.325301204819277,46.13253012048193,1.6626506024096386,5.216867469879518,25.09638554216868,1.1686746987951808,11.0,13.783132530120485,25.795180722891565,7.096385542168675,1.8313253012048192,0.8433734939759037,0.8554216867469879,0.6265060240963856,11.409638554216867
