PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
"Clattenburg, Connor",EDM,C,Left,19,0,0,0,0.0,"$855,000","$855,000",3 yrs,ELC
"Ollas, Hugo",NYR,G,Left,22,0,0,0,0.0,"$855,000","$855,000",2 yrs,ELC
"Vilmanis, Sandis",FLA,LW,Left,21,0,0,0,0.0,"$855,000","$855,000",3 yrs,ELC
"Simoneau, Xavier",MTL,C,Left,23,0,0,0,0.0,"$855,000","$855,000",2 yrs,ELC
"Montgomery, Bryce",CAR,RD,Right,22,0,0,0,0.0,"$854,910","$854,910",3 yrs,ELC
"Beck, Owen",MTL,C,Right,21,0,1,1,0.0,"$853,333","$870,000",3 yrs,ELC
"Jamsen, Aatu",LAK,RW,Left,22,0,0,0,0.0,"$852,500","$852,500",2 yrs,ELC
"Wiebe, Jaxsen",ANA,RW,Right,22,0,0,0,0.0,"$852,500","$852,500",3 yrs,ELC
"Lawrence, Kaleb",LAK,C,Left,22,0,0,0,0.0,"$852,500","$852,500",3 yrs,ELC
"Buteyets, Vyacheslav",ANA,G,Left,22,0,0,0,0.0,"$852,500","$852,500",2 yrs,ELC
"Dean, Zach",STL,C,Left,22,0,0,0,0.0,"$852,500","$832,500",3 yrs,ELC
"Demek, Jakub",VGK,C,Left,21,0,0,0,0.0,"$851,683","$852,000",3 yrs,ELC
"Akhtyamov, Artur",TOR,G,Left,23,0,0,0,0.0,"$851,667","$850,000",3 yrs,ELC
"Hanzel, Jeremy",NSH,LD,Left,22,0,0,0,0.0,"$851,667","$855,000",3 yrs,ELC
"Hofer, Ryan",WSH,C,Left,22,0,0,0,0.0,"$851,667","$855,000",3 yrs,ELC
"Tverberg, Ryan",TOR,C,Right,23,0,0,0,0.0,"$851,667","$850,000",3 yrs,ELC
"Lipkin, Sam",UTA,LW,Left,22,0,0,0,0.0,"$851,667","$850,000",3 yrs,ELC
"Peksa, Vyacheslav",TOR,G,Left,22,0,0,0,0.0,"$851,667","$850,000",3 yrs,ELC
"Boyko, Talyn",NYR,G,Left,22,0,0,0,0.0,"$850,833","$860,000",3 yrs,ELC
"Greer, A.J.",FLA,LW,Left,28,6,11,17,0.0,"$850,000","$925,000",2 yrs,Std
"Silovs, Arturs",VAN,G,Left,23,0,0,0,0.858,"$850,000","$900,000",2 yrs,Std
"Kraws, Ben",DAL,G,Left,24,0,0,0,0.0,"$850,000","$850,000",1 yrs,ELC
"White, Colin",SJS,"RW, LW, C",Right,28,0,0,0,0.0,"$850,000","$850,000",1 yrs,Std (2-way)
"Wolf, Dustin",CGY,G,Left,23,0,3,0,0.914,"$850,000","$850,000",2 yrs,Std (2-way)
"Roobroeck, Dylan",NYR,C,Left,20,0,0,0,0.0,"$850,000","$850,000",3 yrs,ELC
"Jurmo, Joni",CGY,LD,Left,22,0,0,0,0.0,"$850,000","$850,000",2 yrs,ELC
"Jaaska, Juha",CAR,LW,Left,27,0,4,4,0.0,"$850,000","$850,000",1 yrs,ELC
"Seminoff, Matthew",DAL,RW,Right,21,0,0,0,0.0,"$850,000","$850,000",3 yrs,ELC
"Gregor, Noah",SJS,"RW, LW, C",Left,26,4,2,6,0.0,"$850,000","$850,000",1 yrs,Std
"Attard, Ronnie",EDM,RD,Right,25,0,0,0,0.0,"$850,000","$925,000",2 yrs,Std
"Malinski, Sam",COL,RD,Right,26,2,7,9,0.0,"$850,000","$850,000",2 yrs,Std
"Holmstrom, Simon",NYI,"RW, LW",Left,23,14,20,34,0.0,"$850,000","$850,000",1 yrs,Std
"Bauer, Tyrel",WPG,RD,Right,22,0,0,0,0.0,"$850,000","$855,000",3 yrs,ELC
"Kozak, Tyson",BUF,C,Left,22,1,0,1,0.0,"$850,000","$855,556",3 yrs,ELC
"Balinskis, Uvis",FLA,"RD, LD",Left,28,4,11,15,0.0,"$850,000","$850,000",2 yrs,Std (Ext)
"Girgensons, Zemgus",TBL,"LW, C",Left,31,2,4,6,0.0,"$850,000","$1,000,000",3 yrs,Std
"Saville, Isaiah",VGK,G,Right,24,0,0,0,0.0,"$849,667","$858,000",3 yrs,ELC
"Grans, Helge",PHI,RD,Right,22,0,1,1,0.0,"$847,500","$832,500",3 yrs,ELC
"Foudy, Jean-Luc",COL,C,Right,22,0,0,0,0.0,"$847,500","$832,500",3 yrs,ELC
"Sourdif, Justin",FLA,RW,Right,22,1,0,1,0.0,"$847,500","$832,500",3 yrs,ELC
"Knazko, Samuel",CBJ,LD,Left,22,0,0,0,0.0,"$847,500","$832,500",3 yrs,ELC
"Edstrom, Adam",NYR,"RW, C",Left,24,5,4,9,0.0,"$846,667","$855,000",3 yrs,ELC
"Stranges, Antonio",DAL,LW,Left,23,0,0,0,0.0,"$846,667","$830,000",3 yrs,ELC
"Samson, Ethan",PHI,RD,Right,21,0,0,0,0.0,"$846,667","$865,000",3 yrs,ELC
"Kokkonen, Mikko",TOR,LD,Left,24,0,0,0,0.0,"$846,667","$855,000",3 yrs,ELC
"Kerins, Rory",CGY,C,Left,22,0,4,4,0.0,"$846,667","$855,000",3 yrs,ELC
"Savoie, Samuel",CHI,LW,Left,20,0,0,0,0.0,"$846,667","$870,000",3 yrs,ELC
"Zherenko, Vadim",STL,G,Left,24,0,0,0,0.0,"$846,667","$855,000",3 yrs,ELC
"Ziemmer, Koehn",LAK,RW,Right,20,0,0,0,0.0,"$845,833","$875,000",3 yrs,ELC
"Roest, Austin",NSH,RW,Right,21,0,0,0,0.0,"$845,000","$845,000",3 yrs,ELC
"Finnie, Emmitt",DET,C,Left,19,0,0,0,0.0,"$845,000","$845,000",3 yrs,ELC
"Pinelli, Francesco",LAK,C,Left,21,0,0,0,0.0,"$845,000","$867,500",3 yrs,ELC
"Ivan, Ivan",COL,C,Left,22,5,3,8,0.0,"$845,000","$845,000",2 yrs,ELC
"Khazheev, Ruslan",CAR,G,Left,20,0,0,0,0.0,"$845,000","$845,000",3 yrs,ELC
"Zellweger, Olen",ANA,"RD, LD",Left,21,5,9,14,0.0,"$844,167","$832,500",3 yrs,ELC
"Ansons, Raivis",PIT,RW,Left,23,0,0,0,0.0,"$844,167","$852,500",3 yrs,ELC
"Hildeby, Dennis",TOR,G,Left,23,0,0,0,0.878,"$843,333","$855,000",3 yrs,ELC
"Bjorklund, Garin",WSH,G,Left,22,0,0,0,0.0,"$843,333","$850,000",3 yrs,ELC
"Chiasson, Jake",OTT,RW,Right,21,0,0,0,0.0,"$843,333","$845,000",3 yrs,ELC
"Furlong, Jake",SJS,LD,Left,21,0,0,0,0.0,"$841,667","$862,500",3 yrs,ELC
"Malatesta, James",CBJ,LW,Left,21,0,0,0,0.0,"$841,667","$862,500",3 yrs,ELC
"Dureau, Jaydon",TBL,LW,Left,24,0,0,0,0.0,"$841,667","$850,000",3 yrs,ELC
"Milic, Thomas",WPG,G,Left,21,0,0,0,0.0,"$841,667","$835,000",3 yrs,ELC
"Cranley, Will",STL,G,Left,23,0,0,0,0.0,"$841,667","$850,000",3 yrs,ELC
"Lindbom, Carl",VGK,G,Left,21,0,0,0,0.0,"$840,000","$840,000",3 yrs,ELC
"Kuefler, Daylan",NYI,LW,Left,23,0,0,0,0.0,"$840,000","$840,000",3 yrs,ELC
"Lombardi, Amadeus",DET,C,Left,21,0,0,0,0.0,"$838,333","$870,000",3 yrs,ELC
"McConnell-Barker, Bryce",NYR,C,Left,20,0,0,0,0.0,"$838,333","$870,000",3 yrs,ELC
"Pettersson, Elias",VAN,LD,Left,21,0,2,2,0.0,"$838,333","$870,000",3 yrs,ELC
"Pieniniemi, Emil",PIT,LD,Left,20,0,0,0,0.0,"$838,333","$870,000",3 yrs,ELC
"George, Isaiah",NYI,LD,Left,21,1,4,5,0.0,"$838,333","$870,000",3 yrs,ELC
"Filmon, Josh",NJD,LW,Left,20,0,0,0,0.0,"$838,333","$870,000",3 yrs,ELC
"Lind, Kalan",NSH,LW,Left,20,0,0,0,0.0,"$838,333","$870,000",3 yrs,ELC
"Buchinger, Michael",STL,LD,Left,20,0,0,0,0.0,"$838,333","$870,000",3 yrs,ELC
"Mynio, Sawyer",VAN,LD,Left,19,0,0,0,0.0,"$838,333","$870,000",3 yrs,ELC
"Krygier, Cole",LAK,LD,Left,24,0,0,0,0.0,"$837,500","$837,500",2 yrs,ELC
"Caulfield, Judd",ANA,RW,Right,23,0,0,0,0.0,"$837,500","$837,500",2 yrs,ELC
"Annunen, Justus",NSH,G,Left,25,0,0,0,0.872,"$837,500","$800,000",2 yrs,Std (Ext)
