PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
"Johnson, Erik",COL,RD,Right,36,1,2,3,0.0,"$1,000,000","$1,000,000",1 yrs,35+ Contract
"Thrun, Henry",SJS,LD,Left,24,1,9,10,0.0,"$1,000,000","$975,000",2 yrs,Std
"Reimer, James",BUF,G,Left,37,0,0,0,0.864,"$1,000,000","$1,000,000",1 yrs,Std
"Brown, Josh",EDM,"RD, LD",Right,31,0,1,1,0.0,"$1,000,000","$1,025,000",3 yrs,Std
"Kahkonen, Kaapo",FLA,G,Left,28,0,0,0,0.8,"$1,000,000","$1,000,000",1 yrs,Std
"Kapanen, Kasperi",EDM,"RW, LW",Right,28,1,0,1,0.0,"$1,000,000","$1,000,000",1 yrs,Std
"O'Brien, Liam",UTA,"RW, LW, C",Left,30,0,2,2,0.0,"$1,000,000","$1,000,000",3 yrs,Std (Ext)
"Pospisil, Martin",CGY,"RW, C",Left,25,4,17,21,0.0,"$1,000,000","$1,000,000",2 yrs,Std (Ext)
"Jones, Max",EDM,"LW, RW",Left,27,0,0,0,0.0,"$1,000,000","$1,000,000",2 yrs,Std
"Wahlstrom, Oliver",BOS,RW,Right,24,2,2,4,0.0,"$1,000,000","$1,000,000",1 yrs,Std
"Kupari, Rasmus",WPG,"C, RW",Right,25,5,3,8,0.0,"$1,000,000","$1,100,000",2 yrs,Std
"Carrick, Sam",NYR,C,Right,33,6,12,18,0.0,"$1,000,000","$1,000,000",3 yrs,Std
"Raddysh, Taylor",WSH,RW,Right,27,6,19,25,0.0,"$1,000,000","$1,000,000",1 yrs,Std
"Podkolzin, Vasily",EDM,"RW, LW",Left,23,6,15,21,0.0,"$1,000,000","$1,000,000",2 yrs,Std (Ext)
"Jiricek, Adam",STL,RD,Right,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Spellacy, Anthony (AJ)",CHI,RW,Right,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Levshunov, Artyom",CHI,RD,Right,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Sennecke, Beckett",ANA,RW,Right,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Hutton, Ben",VGK,"LD, RD",Left,31,0,0,0,0.0,"$975,000","$975,000",2 yrs,Std (Ext)
"Catton, Berkly",SEA,C,Left,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Yakemchuk, Carter",OTT,RD,Right,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Beaudoin, Cole",UTA,C,Left,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Sprong, Daniel",NJD,RW,Right,27,1,2,3,0.0,"$975,000","$975,000",1 yrs,Std
"Raddysh, Darren",TBL,"RD, LD",Right,29,4,25,29,0.0,"$975,000","$1,114,000",2 yrs,Std (Ext)
"Hemming, Emil",DAL,RW,Right,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Luchanko, Jett",PHI,C,Right,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"He, Kevin",WPG,LW,Left,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Helenius, Konsta",BUF,C,Right,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Greentree, Liam",LAK,RW,Left,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Celebrini, Macklin",SJS,C,Left,18,20,29,49,0.0,"$975,000","$975,000",3 yrs,ELC
"Vanacker, Marek",CHI,LW,Left,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Gridin, Matvei",CGY,RW,Left,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Brandsegg-Nygard, Michael",DET,RW,Right,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Dickinson, Sam",SJS,LD,Left,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Solberg, Stian",ANA,LD,Left,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Parascak, Terik",WSH,RW,Right,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Iginla, Tij",UTA,C,Left,18,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Parekh, Zayne",CGY,RD,Right,19,0,0,0,0.0,"$975,000","$975,000",3 yrs,ELC
"Chernyshov, Igor",SJS,LW,Right,19,0,0,0,0.0,"$966,667","$950,000",3 yrs,ELC
"Danford, Ben",TOR,RD,Right,19,0,0,0,0.0,"$964,000","$957,000",3 yrs,ELC
"O'Reilly, Sam",EDM,RW,Right,18,0,0,0,0.0,"$964,000","$957,000",3 yrs,ELC
"Soderblom, Arvid",CHI,G,Left,25,0,0,0,0.905,"$962,500","$1,000,000",2 yrs,Std (Ext)
"Wright, Cameron",EDM,RW,Right,26,0,0,0,0.0,"$952,000","$952,000",1 yrs,Std (2-way)
"Fantilli, Adam",CBJ,"C, LW",Left,20,21,21,42,0.0,"$950,000","$950,000",3 yrs,ELC
"Duda, Artem",UTA,LD,Left,20,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Sandin-Pellikka , Axel",DET,RD,Right,20,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Steeves, Ben",FLA,LW,Left,22,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
"Yager, Brayden",WPG,C,Right,20,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Ritchie, Calum",NYI,C,Right,20,1,0,1,0.0,"$950,000","$950,000",3 yrs,ELC
"Berglund, Carl",SJS,C,Left,25,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
"Bedard, Connor",CHI,"C, RW",Right,19,17,35,52,0.0,"$950,000","$950,000",3 yrs,ELC
"Black, Cooper",FLA,G,Left,23,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
"Gauthier, Cutter",ANA,LW,Left,21,12,20,32,0.0,"$950,000","$950,000",3 yrs,ELC
"Mayo, Dysin",VGK,RD,Right,28,0,0,0,0.0,"$950,000","$1,000,000",3 yrs,Std (Ext)
"Robinson, Eric",CAR,"LW, RW",Left,29,13,14,27,0.0,"$950,000","$950,000",1 yrs,Std
"Nazar, Frank",CHI,C,Right,21,6,10,16,0.0,"$950,000","$950,000",3 yrs,ELC
"Brindley, Gavin",CBJ,C,Right,20,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Brzustewicz, Hunter",CGY,RD,Right,20,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"McDonald, Hunter",PHI,LD,Left,22,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
"McKown, Hunter",CBJ,C,Right,22,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Miroshnichenko, Ivan",WSH,"LW, RW",Right,21,1,3,4,0.0,"$950,000","$950,000",3 yrs,ELC
"Slafkovsky, Juraj",MTL,LW,Left,20,14,26,40,0.0,"$950,000","$950,000",3 yrs,ELC
"Hutson, Lane",MTL,LD,Left,21,4,47,51,0.0,"$950,000","$950,000",3 yrs,ELC
"Carlsson, Leo",ANA,"C, LW, RW",Left,20,14,17,31,0.0,"$950,000","$950,000",3 yrs,ELC
"Cooley, Logan",UTA,"C, RW",Left,20,17,30,47,0.0,"$950,000","$950,000",3 yrs,ELC
"Michkov, Matvei",PHI,RW,Left,20,20,27,47,0.0,"$950,000","$950,000",3 yrs,ELC
"Tsyplakov, Maxim",NYI,RW,Left,26,7,20,27,0.0,"$950,000","$950,000",1 yrs,ELC
"Diotte, Mikael",NJD,RD,Right,21,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Hovorka, Mikulas",FLA,RD,Right,23,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
"Tolopilo, Nikita",VAN,G,Left,24,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
"Eklind, Oscar",PHI,"LW, C",Left,26,0,0,0,0.0,"$950,000","$950,000",1 yrs,ELC
"Stenberg, Otto",STL,C,Left,19,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Joseph, Pierre-Olivier",PIT,"LD, RD",Left,25,0,2,2,0.0,"$950,000","$950,000",1 yrs,Std
"Heidt, Riley",MIN,C,Left,19,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Dionicio, Rodwin",ANA,LD,Left,20,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"McGroarty, Rutger",PIT,RW,Left,20,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Casey, Seamus",NJD,RD,Right,21,4,1,5,0.0,"$950,000","$950,000",3 yrs,ELC
"Halliday, Stephen",OTT,C,Left,22,0,0,0,0.0,"$950,000","$950,000",2 yrs,ELC
"Lindstein, Theo",STL,LD,Left,20,0,0,0,0.0,"$950,000","$950,000",3 yrs,ELC
"Emberson, Ty",EDM,RD,Right,24,0,10,10,0.0,"$950,000","$950,000",1 yrs,Std
"Smith, Will",SJS,"RW, LW, C",Right,19,13,22,35,0.0,"$950,000","$950,000",3 yrs,ELC
"Benson, Zach",BUF,"LW, RW",Left,19,10,13,23,0.0,"$950,000","$950,000",3 yrs,ELC
"Graf, Collin",SJS,RW,Right,22,4,5,9,0.0,"$941,667","$950,000",3 yrs,ELC
"Muggli, Leon",WSH,LD,Left,18,0,0,0,0.0,"$940,833","$872,500",3 yrs,ELC
"Kolosov, Aleksei",PHI,G,Left,23,0,0,0,0.87,"$925,000","$925,000",3 yrs,ELC
"Brisson, Brendan",NYR,"LW, RW, C",Left,23,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"Faber, Brock",MIN,RD,Right,22,7,17,24,0.0,"$925,000","$925,000",3 yrs,ELC
"Ceulemans, Corson",CBJ,RD,Right,21,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"Levi, Devon",BUF,G,Left,23,0,0,0,0.872,"$925,000","$925,000",3 yrs,ELC
"Voronkov, Dmitri",CBJ,"C, LW",Left,24,20,22,42,0.0,"$925,000","$925,000",2 yrs,ELC
"Fensore, Domenick",CAR,LD,Left,23,0,0,0,0.0,"$925,000","$925,000",2 yrs,ELC
"Commesso, Drew",CHI,G,Left,22,0,0,0,0.846,"$925,000","$925,000",3 yrs,ELC
"Helleson, Drew",ANA,RD,Right,23,4,6,10,0.0,"$925,000","$925,000",3 yrs,ELC
"O'Connor, Drew",VAN,"LW, RW",Left,26,6,10,16,0.0,"$925,000","$925,000",2 yrs,Std
"Svechkov, Fedor",NSH,C,Left,21,6,5,11,0.0,"$925,000","$925,000",3 yrs,ELC
"Merkulov, Georgii",BOS,C,Left,24,0,1,1,0.0,"$925,000","$925,000",3 yrs,ELC
"Peart, Jack",MIN,LD,Left,21,0,0,0,0.0,"$925,000","$925,000",3 yrs,ELC
"LaCombe, Jackson",ANA,"RD, LD",Left,24,11,24,35,0.0,"$925,000","$925,000",2 yrs,Std
"Dobes, Jakub",MTL,G,Left,23,0,0,0,0.907,"$925,000","$925,000",2 yrs,ELC
"Wallstedt, Jesper",MIN,G,Left,22,0,0,0,0.843,"$925,000","$925,000",3 yrs,ELC
"Nystrom, Joel",CAR,RD,Right,22,0,0,0,0.0,"$925,000","$925,000",2 yrs,ELC
"Beecher, John",BOS,"C, RW",Left,23,3,8,11,0.0,"$925,000","$925,000",3 yrs,ELC
"Doan, Josh",UTA,RW,Right,23,4,10,14,0.0,"$925,000","$925,000",3 yrs,ELC
"Hughes, Luke",NJD,"LD, RD",Left,21,6,25,31,0.0,"$925,000","$925,000",3 yrs,ELC
"Samoskevich, Mackie",FLA,RW,Right,22,12,12,24,0.0,"$925,000","$925,000",3 yrs,ELC
