player_id,gameCount,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,pim
8466251,74,3,10,13,-12,0,0,0,0,79,1107,37
8468095,22,0,1,1,-6,0,0,0,0,4,152,85
8470816,34,2,0,2,-8,0,0,0,0,14,264,90
8481637,4,0,0,0,1,0,0,0,0,2,51,4
8470180,46,7,0,7,-6,0,0,1,0,27,786,20
8480267,9,1,1,2,-1,0,0,0,0,8,114,0
8476283,2,0,0,0,0,0,0,0,0,1,25,2
8471261,8,0,0,0,0,0,0,0,0,8,102,29
8470619,66,11,10,21,6,0,0,1,0,87,1033,27
8475761,6,0,0,0,-2,0,0,0,0,6,92,0
8481186,66,7,9,16,-7,0,0,0,0,73,1311,19
8475775,2,0,0,0,0,0,0,0,0,1,24,0
8462209,75,6,24,30,-1,2,2,0,0,87,1587,16
8467371,46,4,21,25,-5,2,2,0,0,38,927,14
8470625,27,0,6,6,2,0,0,0,0,25,394,48
8470631,76,5,9,14,-7,1,1,1,0,83,1471,18
8475749,6,0,2,2,1,0,0,0,0,9,84,2
8476526,3,0,0,0,-4,0,0,0,0,7,47,4
8475763,52,10,9,19,-14,4,4,1,0,82,857,6
8471263,57,6,8,14,-1,0,0,0,0,91,829,18
8471277,24,1,5,6,-8,0,0,0,0,28,398,6
8470169,82,3,8,11,-6,0,0,2,0,58,1256,78
8475950,3,0,0,0,0,0,0,0,0,5,40,2
8475788,24,2,4,6,-5,1,1,0,0,18,390,12
8480259,2,0,0,0,0,0,0,0,0,1,24,2
8481147,57,4,2,6,-15,0,0,1,0,54,843,38
8468083,82,11,45,56,1,1,1,2,0,180,1929,14
8465028,1,0,0,0,0,0,0,0,0,0,10,0
8479367,26,0,1,1,2,0,0,0,0,19,319,16
8479373,61,12,10,22,-25,3,3,2,0,105,1207,12
8474657,1,0,0,0,-1,0,0,0,0,3,13,0
8468518,64,2,6,8,-19,0,0,1,0,106,1150,28
8479415,80,4,22,26,6,0,0,1,0,90,1492,43
8477410,1,0,0,0,-1,0,0,0,0,1,18,0
8471707,19,2,2,4,-1,1,1,1,0,31,295,0
8471713,2,0,0,0,0,0,0,0,0,0,19,0
8478051,9,0,0,0,-3,0,0,0,0,9,119,4
8477404,65,32,31,63,11,14,14,3,0,172,1464,18
8475213,4,0,0,0,-1,0,0,0,0,3,48,2
8478904,64,5,9,14,2,0,0,2,0,59,993,4
8482116,66,20,48,68,2,3,3,1,1,131,1617,34
8476915,51,6,8,14,-11,1,1,0,0,59,933,31
8474870,56,12,20,32,-21,4,4,0,0,125,1085,16
8474045,16,0,2,2,3,0,0,0,0,13,243,4
8470223,4,1,0,1,1,0,0,0,0,7,63,0
8478131,1,0,0,0,0,0,0,0,0,0,20,0
8482089,67,17,17,34,-1,5,5,2,1,106,1356,37
8483397,1,1,0,1,1,0,0,0,0,2,19,0
8480846,6,0,0,0,0,0,0,0,0,5,67,4
8482062,55,4,6,10,-8,0,0,0,0,56,1074,60
8478870,17,3,2,5,-1,0,0,0,0,24,242,4
8480113,67,10,12,22,15,4,4,0,0,82,1177,15
8471698,72,19,36,55,17,3,3,4,1,162,1959,51
8471840,6,0,3,3,1,0,0,0,0,6,87,4
8476849,4,0,0,0,-1,0,0,0,0,3,54,2
8478864,37,23,29,52,19,3,3,4,1,128,758,14
8481557,67,21,34,55,-1,6,6,8,1,230,1306,41
8471868,41,2,0,2,-7,0,0,0,0,39,708,2
8481543,23,0,2,2,-4,0,0,0,0,15,262,4
8476322,8,0,0,0,-2,0,0,0,0,6,123,0
8474535,7,1,1,2,-1,1,1,0,0,10,119,0
8477996,75,7,8,15,-6,0,0,2,0,67,1385,14
8475159,2,0,0,0,-1,0,0,0,0,0,15,0
8476336,40,2,1,3,1,0,0,0,0,50,620,6
8478455,7,1,1,2,-2,0,0,1,0,13,113,0
8475165,22,1,3,4,2,0,0,0,0,12,351,6
8473514,20,2,2,4,-8,0,0,0,0,18,349,14
8479987,63,22,13,35,1,3,3,4,0,122,1300,20
8475603,5,0,0,0,0,0,0,0,0,3,52,2
8477941,74,13,13,26,-21,4,4,2,0,120,1394,53
8477955,67,16,29,45,4,3,3,2,1,160,1417,14
8482248,8,1,0,1,-3,0,0,0,0,5,106,2
8479944,65,4,10,14,-11,0,0,1,0,85,1157,23
8483630,14,1,2,3,-3,0,0,0,0,17,199,4
8481740,2,0,0,0,-1,0,0,0,0,1,29,0
8478483,65,21,59,80,9,6,6,6,2,144,1627,14
8481032,67,14,6,20,-10,0,0,2,0,77,1193,47
8481754,8,1,1,2,0,0,0,0,0,6,104,0
8480304,3,0,1,1,1,0,0,0,0,7,53,4
8474291,30,1,4,5,-2,0,0,0,0,21,606,8
8477940,58,21,36,57,17,6,6,4,1,150,1109,10
8479986,23,2,6,8,-1,0,0,0,0,31,365,12
8478440,69,22,26,48,-6,5,5,2,0,126,1402,28
8475164,81,10,16,26,-20,4,4,2,0,141,1756,32
8475602,14,2,5,7,-4,0,0,1,0,25,243,0
8477015,66,8,16,24,2,0,0,3,1,91,1140,8
8468121,1,0,0,0,0,0,0,0,0,2,7,0
8475170,67,15,27,42,-3,2,2,5,2,117,1482,50
8476479,64,6,28,34,14,0,0,2,0,107,1405,14
8468647,36,1,2,3,-3,1,1,0,0,27,390,47
8479992,62,10,7,17,-6,2,2,0,0,84,1153,22
8475158,63,16,26,42,-20,6,6,3,0,121,1467,11
8476451,12,1,1,2,1,0,0,1,0,14,179,2
8460541,54,7,7,14,-1,0,0,4,0,44,823,12
8476323,10,0,0,0,1,0,0,0,0,8,113,10
8476445,11,0,1,1,0,0,0,0,0,13,147,6
8477983,3,1,0,1,0,0,0,0,0,3,35,0
8481556,66,3,8,11,-5,0,0,0,0,35,1159,22
8468486,62,13,11,24,-3,2,2,2,0,82,1099,82
8471699,79,10,9,19,6,0,0,0,0,85,1599,44
8474939,1,0,0,0,0,0,0,0,0,0,14,0
8482077,67,21,28,49,10,5,5,5,1,155,1365,10
8482063,15,0,0,0,-5,0,0,0,0,3,213,2
8482705,54,9,20,29,-15,2,2,2,1,114,1132,35
8465175,51,1,4,5,-7,0,0,0,0,24,926,64
8482088,3,0,0,0,0,0,0,0,0,2,36,0
8475372,12,0,0,0,-1,0,0,0,0,3,131,4
8480853,62,7,7,14,-26,0,0,0,0,67,984,8
8475414,51,3,4,7,-7,0,0,0,0,54,788,4
8474722,12,1,2,3,-4,0,0,0,0,10,159,13
8479206,8,0,1,1,-3,0,0,0,0,6,113,2
8474050,5,0,2,2,1,0,0,0,0,6,62,2
8460743,74,11,13,24,-9,10,10,3,0,97,1105,40
8474736,4,0,0,0,-1,0,0,0,0,1,38,5
