,Unnamed: 0,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position,salary
1427,2169,Oliver Bjorkstrand,1.90359477124183,0.3970588235294117,0.2745098039215686,0.0751633986928104,0.2238562091503268,0.8120915032679739,0.1029411764705882,2.3986928104575163,0.0964052287581699,0.7450980392156863,1.0179738562091505,3.447712418300654,0.1732026143790849,0.6160130718954249,0.0277777777777777,0.2107843137254902,19.03921568627451,4.318627450980392,2.349673202614379,0.5555555555555556,0.184640522875817,0.0915032679738562,612,940.7238562091504,0.0091993464052287,0.0092483660130718,0.1601307189542483,0.4084967320261438,0.3415032679738562,1,F,6000000
1428,2171,Oliver Kapanen,1.5833333333333333,0.5,0.0,0.0,0.0,0.0833333333333333,0.0,0.8333333333333334,0.0,0.75,0.5,1.8333333333333333,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,15.333333333333334,2.25,1.0833333333333333,0.0,2.25,1.9166666666666667,12,697.75,0.0383333333333333,0.0375,0.25,0.5,0.1666666666666666,1,F,950000
1429,2174,Oliver Wahlstrom,1.194915254237288,0.2796610169491525,0.1567796610169491,0.0550847457627118,0.1652542372881356,1.2161016949152543,0.0677966101694915,1.86864406779661,0.0338983050847457,0.4279661016949153,0.6610169491525424,2.559322033898305,0.6186440677966102,0.3093220338983051,0.0211864406779661,0.1483050847457627,16.00423728813559,3.3813559322033897,1.8008474576271187,0.25,0.1694915254237288,0.1228813559322034,236,696.1228813559322,0.0127118644067796,0.0129661016949152,0.211864406779661,0.4406779661016949,0.1525423728813559,1,F,950000
1430,2177,Olle Lycksell,1.131578947368421,0.3947368421052631,0.0263157894736842,0.0,0.1578947368421052,0.2368421052631578,0.0,0.8421052631578947,0.0263157894736842,0.4736842105263157,0.4210526315789473,1.605263157894737,0.4210526315789473,0.2368421052631578,0.0,0.1578947368421052,13.81578947368421,1.8157894736842104,1.0526315789473684,0.131578947368421,0.131578947368421,0.0789473684210526,38,636.6315789473684,0.036578947368421,0.0378947368421052,0.0263157894736842,0.3947368421052631,0.2105263157894736,1,F,950000
1431,2178,Olli Jokinen,2.5354330708661417,0.5295275590551181,0.2224409448818897,0.09251968503937,0.2421259842519685,1.1141732283464567,0.0531496062992126,2.440944881889764,0.076771653543307,0.7303149606299213,0.9153543307086616,3.570866141732284,0.6377952755905512,0.5688976377952756,0.0452755905511811,0.1830708661417323,22.023622047244096,4.311023622047244,2.498031496062992,0.4547244094488189,7.090551181102362,6.124015748031496,508,1044.9704724409448,0.0074212598425196,0.0074212598425196,0.2125984251968504,0.4291338582677165,0.3464566929133858,1,F,6000000
1432,2182,Ondrej Kase,1.9186046511627908,0.5,0.2209302325581395,0.0775193798449612,0.2480620155038759,0.5077519379844961,0.0775193798449612,2.2906976744186047,0.065891472868217,0.5310077519379846,0.8023255813953488,3.0387596899224807,0.2403100775193798,0.4806201550387597,0.0426356589147286,0.1046511627906976,19.348837209302324,3.937984496124031,2.2674418604651163,0.5348837209302325,0.3023255813953488,0.0891472868217054,258,850.8139534883721,0.0158527131782945,0.0157751937984496,0.2364341085271318,0.3914728682170542,0.2596899224806202,1,F,6000000
1433,2183,Ondrej Palat,2.4049079754601226,0.5067484662576687,0.2147239263803681,0.0748466257668711,0.2319018404907975,1.6613496932515337,0.0478527607361963,1.525153374233129,0.0920245398773006,0.7251533742331289,0.6932515337423313,3.798773006134969,0.2969325153374233,0.6171779141104294,0.0466257668711656,0.1644171779141104,21.59631901840491,3.222085889570552,1.788957055214724,0.4944785276073619,0.252760736196319,0.0638036809815951,815,995.638036809816,0.0085521472392638,0.0085030674846625,0.2208588957055214,0.7239263803680982,0.4024539877300613,1,F,6000000
1434,2184,Ondrej Pavel,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,10.0,2.5,1.5,0.5,3.0,1.5,2,366.0,0.375,0.375,0.0,0.0,0.0,1,F,950000
1435,2187,Oscar Lindberg,1.488095238095238,0.3015873015873015,0.1547619047619047,0.0436507936507936,0.1349206349206349,1.6071428571428572,0.0357142857142857,1.496031746031746,0.0753968253968253,0.4007936507936508,0.5476190476190477,1.9722222222222223,0.4642857142857143,0.3134920634920635,0.0317460317460317,0.0873015873015873,16.428571428571427,2.511904761904762,1.4841269841269842,0.2817460317460317,2.507936507936508,2.5198412698412698,252,706.5912698412699,0.0103968253968253,0.0102380952380952,0.119047619047619,0.5,0.1587301587301587,1,F,4000000
1436,2188,Oscar Moller,1.4482758620689655,0.3448275862068966,0.1379310344827586,0.0689655172413793,0.1149425287356321,1.0689655172413792,0.0459770114942528,1.7011494252873562,0.0229885057471264,0.6551724137931034,0.7471264367816092,2.839080459770115,0.2528735632183908,0.2988505747126437,0.0229885057471264,0.1724137931034483,16.080459770114942,3.183908045977012,1.7241379310344829,0.1149425287356321,1.4022988505747127,0.8390804597701149,87,700.9540229885057,0.0197701149425287,0.0193103448275862,0.1839080459770115,0.264367816091954,0.160919540229885,1,F,950000
1437,2189,Oskar Bck,2.1666666666666665,0.7666666666666667,0.05,0.0333333333333333,0.1333333333333333,0.4166666666666667,0.0166666666666666,0.5833333333333334,0.0,0.2833333333333333,0.45,1.1666666666666667,0.1,0.2166666666666666,0.0,0.1,16.316666666666666,1.2833333333333334,0.55,0.1666666666666666,1.1,1.35,60,710.7166666666667,0.0078333333333333,0.0073333333333333,0.0666666666666666,0.4666666666666667,0.1666666666666666,1,F,950000
