,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position,salary
535,Kris Russell,3.033214709371293,0.5990510083036773,0.0545670225385527,0.0071174377224199,0.0344009489916963,0.9988137603795968,0.0344009489916963,1.5670225385527876,0.0130486358244365,0.1221826809015421,0.5290628706998813,3.2526690391459074,0.2930011862396204,0.2894424673784104,0.0035587188612099,0.0735468564650059,25.387900355871885,2.5575326215895613,1.1945432977461448,0.3594306049822064,0.0011862396204033,0.0,843,1167.5255041518387,0.0079359430604982,0.0081494661921708,0.1506524317912218,2.3451957295373664,0.2348754448398576,1,D,6000000
536,Kristians Rubins,1.6666666666666667,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.6666666666666666,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,18.33333333333333,2.0,1.6666666666666667,0.0,0.0,0.0,3,705.0,0.1766666666666666,0.1899999999999999,0.0,0.6666666666666666,0.0,1,D,950000
537,Kurt Sauer,5.779411764705882,0.2647058823529412,0.0147058823529411,0.0,0.0,1.338235294117647,0.0147058823529411,0.9852941176470588,0.0,0.0147058823529411,0.4852941176470588,1.7058823529411764,0.5294117647058824,0.088235294117647,0.0147058823529411,0.0147058823529411,28.176470588235293,1.3823529411764706,0.5147058823529411,0.1323529411764706,0.0147058823529411,0.0,68,1236.0441176470588,0.0108823529411764,0.0105882352941176,0.1176470588235294,1.7794117647058822,0.0735294117647058,1,D,950000
538,Kurtis Foster,1.956331877729257,0.3930131004366812,0.0960698689956331,0.0393013100436681,0.0698689956331877,0.9563318777292577,0.0480349344978165,2.5851528384279474,0.0087336244541484,0.1048034934497816,0.7379912663755459,4.100436681222708,0.6331877729257642,0.388646288209607,0.0043668122270742,0.0917030567685589,22.344978165938866,4.104803493449782,2.021834061135371,0.1703056768558952,0.0,0.0,229,988.7336244541484,0.0117903930131004,0.0115720524017467,0.0917030567685589,0.8951965065502183,0.2925764192139738,1,D,950000
539,Kurtis MacDermid,1.2226415094339622,0.3962264150943396,0.0415094339622641,0.0,0.0264150943396226,1.9547169811320757,0.030188679245283,0.8452830188679246,0.0113207547169811,0.0754716981132075,0.2943396226415094,1.1056603773584903,1.1622641509433962,0.1132075471698113,0.0,0.0716981132075471,13.747169811320754,1.4226415094339622,0.6528301886792452,0.090566037735849,0.0037735849056603,0.0075471698113207,265,566.0867924528302,0.012,0.0116981132075471,0.1735849056603773,0.6528301886792452,0.0716981132075471,1,D,4000000
540,Kyle Burroughs,2.7142857142857144,0.244047619047619,0.0297619047619047,0.0,0.0238095238095238,3.1547619047619047,0.0238095238095238,1.3273809523809523,0.0059523809523809,0.0535714285714285,0.4047619047619047,1.238095238095238,1.0535714285714286,0.1130952380952381,0.0,0.0833333333333333,21.64880952380953,2.244047619047619,1.0,0.25,0.0059523809523809,0.0,168,1008.8571428571428,0.0114880952380952,0.0114880952380952,0.2559523809523809,1.6607142857142858,0.0833333333333333,1,D,950000
541,Kyle Capobianco,1.904109589041096,0.6027397260273972,0.0684931506849315,0.0136986301369863,0.0273972602739726,1.0273972602739727,0.0547945205479452,1.3150684931506849,0.0,0.0684931506849315,0.4794520547945205,2.4794520547945207,0.6575342465753424,0.1643835616438356,0.0,0.0958904109589041,20.863013698630137,2.054794520547945,0.9315068493150684,0.3561643835616438,0.0,0.0,73,904.3013698630136,0.0406849315068493,0.0382191780821917,0.1095890410958904,0.9178082191780822,0.0958904109589041,1,D,950000
542,Kyle Cumiskey,3.391304347826087,0.5217391304347826,0.0869565217391304,0.0108695652173913,0.0217391304347826,0.6630434782608695,0.0434782608695652,1.4456521739130437,0.0326086956521739,0.1630434782608695,0.5217391304347826,2.9347826086956523,0.3260869565217391,0.3043478260869565,0.0108695652173913,0.1195652173913043,25.15217391304348,2.239130434782609,1.108695652173913,0.7282608695652174,0.0,0.0,92,1112.4782608695652,0.0218478260869565,0.0222826086956521,0.2391304347826087,1.5869565217391304,0.217391304347826,1,D,950000
543,Kyle Quincey,3.596858638743456,0.537521815008726,0.0610820244328097,0.019197207678883,0.0506108202443281,1.3054101221640488,0.0349040139616055,2.0296684118673647,0.0069808027923211,0.0767888307155322,0.6212914485165794,3.160558464223385,0.8970331588132635,0.2739965095986038,0.0122164048865619,0.106457242582897,26.966841186736477,3.3263525305410124,1.5357766143106455,0.31239092495637,0.0034904013961605,0.0,573,1222.2565445026178,0.0083246073298429,0.0083420593368237,0.169284467713787,1.31239092495637,0.212914485165794,1,D,6000000
544,Ladislav Smid,3.605442176870748,0.562358276643991,0.0204081632653061,0.0,0.0068027210884353,2.126984126984127,0.0136054421768707,0.8072562358276644,0.0068027210884353,0.0566893424036281,0.2653061224489796,2.129251700680272,0.7414965986394558,0.1315192743764172,0.0045351473922902,0.0476190476190476,24.789115646258505,1.2879818594104309,0.6054421768707483,0.238095238095238,0.0,0.0,441,1098.5056689342405,0.0074149659863945,0.0077097505668934,0.1814058956916099,1.8321995464852607,0.1111111111111111,1,D,2000000
545,Lane Hutson,2.5,2.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,23.5,3.0,1.5,1.5,0.0,0.0,2,1363.0,0.205,0.2,0.0,0.0,1.0,1,D,950000
