,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position
561,Christian Backman,1.375,0.23214285714285715,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.7142857142857143,0.017857142857142856,1.3392857142857142,0.0,0.08928571428571429,0.48214285714285715,3.1785714285714284,0.5714285714285714,0.125,0.017857142857142856,0.05357142857142857,21.125,2.4285714285714284,0.9642857142857143,0.19642857142857142,0.017857142857142856,0.0,56,938.4642857142857,0.010714285714285714,0.010714285714285714,0.17857142857142858,0.9464285714285714,0.08928571428571429,1,D
562,Christian Djoos,1.577922077922078,0.525974025974026,0.045454545454545456,0.006493506493506494,0.012987012987012988,0.33766233766233766,0.032467532467532464,1.1688311688311688,0.006493506493506494,0.09740259740259741,0.35064935064935066,3.1233766233766236,0.18181818181818182,0.24025974025974026,0.0,0.05844155844155844,18.863636363636363,1.87012987012987,0.9285714285714286,0.19480519480519481,0.0,0.0,154,866.3116883116883,0.013571428571428571,0.013376623376623377,0.08441558441558442,0.7727272727272727,0.19480519480519481,1,D
564,Christian Ehrhoff,3.1866666666666665,0.6266666666666667,0.10857142857142857,0.01904761904761905,0.05904761904761905,0.8247619047619048,0.06666666666666667,3.0476190476190474,0.022857142857142857,0.16,1.0876190476190477,3.763809523809524,0.64,0.4742857142857143,0.011428571428571429,0.16380952380952382,26.125714285714285,4.672380952380952,2.179047619047619,0.34476190476190477,0.0,0.0,525,1343.4914285714285,0.008266666666666667,0.00819047619047619,0.22476190476190477,1.2304761904761905,0.3657142857142857,1,D
566,Christian Folin,2.3387755102040817,0.42448979591836733,0.0326530612244898,0.0,0.004081632653061225,1.9755102040816326,0.02857142857142857,1.2081632653061225,0.004081632653061225,0.036734693877551024,0.39183673469387753,1.9714285714285715,0.4897959183673469,0.17959183673469387,0.0,0.07346938775510205,20.714285714285715,1.926530612244898,0.8571428571428571,0.14285714285714285,0.0,0.004081632653061225,245,911.0163265306122,0.012857142857142857,0.012693877551020407,0.11836734693877551,1.363265306122449,0.1469387755102041,1,D
568,Christian Jaros,2.425531914893617,0.5531914893617021,0.010638297872340425,0.0,0.010638297872340425,1.6808510638297873,0.010638297872340425,1.127659574468085,0.0,0.07446808510638298,0.3404255319148936,1.9574468085106382,0.39361702127659576,0.14893617021276595,0.0,0.0425531914893617,19.43617021276596,1.7765957446808511,0.8723404255319149,0.23404255319148937,0.0,0.0,94,783.6489361702128,0.024148936170212767,0.024893617021276595,0.09574468085106383,1.1914893617021276,0.13829787234042554,1,D
570,Christian Wolanin,1.569767441860465,0.6162790697674418,0.06976744186046512,0.011627906976744186,0.011627906976744186,0.32558139534883723,0.011627906976744186,1.2093023255813953,0.046511627906976744,0.13953488372093023,0.3023255813953488,2.7093023255813953,0.23255813953488372,0.26744186046511625,0.011627906976744186,0.05813953488372093,20.372093023255815,2.011627906976744,1.058139534883721,0.3023255813953488,0.0,0.0,86,936.7441860465116,0.03662790697674419,0.03686046511627907,0.05813953488372093,0.8255813953488372,0.19767441860465115,1,D
573,Christoph Schubert,2.402061855670103,0.4845360824742268,0.05154639175257732,0.010309278350515464,0.030927835051546393,2.6597938144329896,0.030927835051546393,1.7835051546391754,0.010309278350515464,0.08247422680412371,0.5567010309278351,1.9484536082474226,0.979381443298969,0.13402061855670103,0.0,0.061855670103092786,19.20618556701031,2.6597938144329896,1.3402061855670102,0.35051546391752575,0.0,0.0,97,879.1546391752578,0.009072164948453608,0.009072164948453608,0.1134020618556701,0.9690721649484536,0.08247422680412371,1,D
575,Christopher Tanev,5.188650306748467,0.5613496932515337,0.046012269938650305,0.003067484662576687,0.015337423312883436,0.4386503067484663,0.03374233128834356,1.107361963190184,0.009202453987730062,0.049079754601226995,0.35736196319018404,2.6978527607361964,0.21319018404907975,0.24386503067484663,0.0015337423312883436,0.046012269938650305,27.40644171779141,1.7331288343558282,0.8144171779141104,0.3174846625766871,0.0,0.0,652,1198.515337423313,0.008420245398773006,0.008558282208588957,0.12116564417177914,2.0153374233128836,0.19785276073619631,1,D
581,Clay Wilson,1.896551724137931,0.3103448275862069,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.9310344827586207,0.06896551724137931,1.793103448275862,0.0,0.1724137931034483,0.5862068965517241,2.8620689655172415,0.3448275862068966,0.20689655172413793,0.0,0.13793103448275862,16.379310344827587,2.8275862068965516,1.4482758620689655,0.3793103448275862,0.0,0.0,29,807.0689655172414,0.07758620689655173,0.07379310344827586,0.20689655172413793,0.5172413793103449,0.10344827586206896,1,D
583,Clayton Stoner,3.433333333333333,0.475,0.019444444444444445,0.008333333333333333,0.011111111111111112,1.8305555555555555,0.008333333333333333,1.1611111111111112,0.002777777777777778,0.019444444444444445,0.36944444444444446,1.9583333333333333,1.2194444444444446,0.13333333333333333,0.002777777777777778,0.04722222222222222,22.863888888888887,1.825,0.8222222222222222,0.21388888888888888,0.0,0.0,360,984.4722222222222,0.01,0.010027777777777778,0.2222222222222222,1.2444444444444445,0.11388888888888889,1,D
586,Cody Ceci,4.4,0.5543859649122806,0.0608187134502924,0.008187134502923977,0.03976608187134503,1.3812865497076023,0.03391812865497076,1.808187134502924,0.01871345029239766,0.1239766081871345,0.5532163742690058,2.546198830409357,0.2222222222222222,0.27134502923976606,0.007017543859649123,0.09590643274853801,25.321637426900583,2.9707602339181287,1.4187134502923977,0.23976608187134502,0.0,0.0011695906432748538,855,1242.9122807017543,0.006116959064327485,0.00607017543859649,0.06432748538011696,1.6093567251461989,0.21052631578947367,1,D
